id,name,name_en,category,manufacturer,type,torque,speed,weight,voltage,protocol,interface,position_resolution,applications,price_range,compatibility,ros_support,domestic_rate,import_dependency,verified,quarantine,data_quality,source,source_tier,confidence,mech_status,mech_mount_type,mech_standard,std_assessed,std_ros2,entity_kind
ACT-001,DYNAMIXEL XM540-W270-T,DYNAMIXEL XM540-W270-T,actuators,ROBOTIS,smart_servo,9.2 Nm @ 12V,0.222 sec/60° @ 12V,82g,10.0~14.8V,DYNAMIXEL Protocol 2.0,TTL/RS485,4096,humanoid; manipulator; quadruped,0-100,U2D2; OpenCM; ROS2,True,进口替代中,高,False,False,ok,厂商目录声明值：ROBOTIS（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-002,DYNAMIXEL XM430-W350-T,DYNAMIXEL XM430-W350-T,actuators,ROBOTIS,smart_servo,4.1 Nm @ 12V,0.16 sec/60° @ 12V,82g,10.0~14.8V,DYNAMIXEL Protocol 2.0,TTL/RS485,4096,humanoid; manipulator; quadruped,0-100,U2D2; OpenCM; ROS2,True,进口替代中,高,False,False,ok,厂商目录声明值：ROBOTIS（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-003,DYNAMIXEL PH54-200-S500-R,DYNAMIXEL PH54-200-S500-R,actuators,ROBOTIS,smart_servo,44.7 Nm @ 48V,0.613 sec/60° @ 48V,840g,24.0~48.0V,DYNAMIXEL Protocol 2.0,RS485,501900,humanoid_hip; industrial; large_manipulator,300-500,U2D2; ROS2,True,进口替代中,高,False,False,ok,厂商目录声明值：ROBOTIS（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-004,Odrive D6374,Odrive D6374,actuators,Odrive,BLDC_controller,depends on motor,depends on motor,N/A,12-48V,UART/CAN,UART/USB/CAN,encoder dependent,humanoid; quadruped; robot_arm,100-200,Odrive GUI; ROS2,True,进口替代中,中,False,False,ok,官方页面（未证实）：https://odriverobotics.com/,B,0.58,not_declared,unknown,,True,True,component
ACT-005,SimpleFOC Shield,SimpleFOC Shield,actuators,SimpleFOC,BLDC_controller,depends on motor,depends on motor,30g,5-30V,UART/I2C,UART/I2C/SPI,encoder dependent,hobby_robot; gimbal; small_arm,0-50,Arduino; ESP32; STM32,False,中,低,False,False,ok,官方页面（未证实）：https://docs.simplefoc.com/arduino_simplefoc_shield_showcase,A,0.58,not_declared,unknown,,True,False,component
ACT-006,T-Motor AK80-64,T-Motor AK80-64,actuators,T-Motor,integrated_actuator,17 Nm,6.3 rad/s,475g,24V,CAN bus,CAN,14-bit encoder,quadruped; humanoid_knee; robot_arm,200-400,Custom CAN; ROS2,True,,,False,False,ok,厂商目录声明值：T-Motor（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-007,T-Motor AK10-9,T-Motor AK10-9,actuators,T-Motor,integrated_actuator,9 Nm,23 rad/s,260g,24V,CAN bus,CAN,14-bit encoder,quadruped; humanoid_ankle; drone_gimbal,150-300,Custom CAN; ROS2,True,,,False,False,ok,厂商目录声明值：T-Motor（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-008,Maxon EC Flat 60,Maxon EC Flat 60,actuators,Maxon,BLDC_motor,0.677 Nm,4780 rpm,300g,24V,ESCON controller,analog/digital,external encoder,precision_arm; surgical_robot; space,500-1000,ESCON; EPOS4; ROS2,True,,,False,False,ok,官方页面（未证实）：https://www.maxongroup.com/,B,0.58,not_declared,unknown,,True,True,component
ACT-009,Kollmorgen TBM2G,Kollmorgen TBM2G,actuators,Kollmorgen,frameless_torque_motor,varies (up to 100+ Nm),varies,varies,48-400V,AKD drive,EtherCAT/EthernetIP,external encoder,humanoid_joint; industrial_robot; collaborative_robot,1000+,AKD; ROS2,True,,,False,False,ok,,C,0.3,not_declared,unknown,,True,True,component
ACT-010,Focbox Unity,Focbox Unity,actuators,Enertion/VESC,motor_controller,depends on motor,depends on motor,180g,8-60V,VESC/UART,UART/USB/CAN,N/A,mobile_robot; electric_vehicle; robot_arm,00-150,VESC Tool,False,,,False,False,ok,,C,0.3,not_declared,unknown,,True,False,component
ACT-011,Unitree B2 Motor,Unitree B2 Motor,actuators,Unitree,integrated_actuator,23.7 Nm,16.4 rad/s,530g,24V,custom CAN,CAN,14-bit,humanoid; quadruped,200-400,Unitree SDK; ROS2,True,,,False,False,ok,厂商目录声明值：Unitree（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-012,Unitree A1 Motor,Unitree A1 Motor,actuators,Unitree,integrated_actuator,9.1 Nm,21.4 rad/s,240g,21.6V,custom CAN,CAN,14-bit,quadruped; small_humanoid,100-200,Unitree SDK; ROS2,True,,,False,False,ok,厂商目录声明值：Unitree（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-013,Tesla M107 Joint Motor,Tesla M107 Joint Motor,actuators,Tesla,custom_actuator,classified,classified,classified,classified,Tesla proprietary,proprietary bus,classified,Tesla Optimus Gen 2/3,N/A (internal),Tesla Optimus only,False,,,False,False,ok,厂商目录声明值：Tesla（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,False,component
ACT-014,Figure Custom Actuator,Figure Custom Actuator,actuators,Figure AI,custom_actuator,classified,classified,classified,classified,proprietary,proprietary bus,classified,Figure 01/02/03,N/A (internal),Figure robots only,False,,,False,False,ok,厂商目录声明值：Figure AI（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,False,component
ACT-015,CubeMars GL40,CubeMars GL40,actuators,CubeMars,integrated_actuator,7.2 Nm,24.5 rad/s,215g,24V,CAN bus,CAN,14-bit,quadruped; humanoid_wrist; drone,100-200,ROS2; custom CAN,True,,,False,False,ok,厂商目录声明值：CubeMars（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-016,CubeMars AK80-9,CubeMars AK80-9,actuators,CubeMars,integrated_actuator,17 Nm,25.5 rad/s,490g,24V,CAN bus,CAN,14-bit,humanoid; quadruped; robot_arm,200-400,ROS2; custom CAN,True,,,False,False,ok,厂商目录声明值：CubeMars（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
